Year,Month,Day,CPI,California,Virginia,Florida,New York,New Jersey,Texas,Utah,Washington,Illinois,Colorado,Arkansas,Arizona,Nevada,Michigan,New Hampshire,Rhode Island,Pennsylvania,Tennessee,Massachusetts,the District of Columbia,Minnesota,North Carolina,Oregon,Georgia,Hawaii,West Virginia,Maryland,Maine,Idaho,Alaska,South Carolina,Wisconsin,Vermont,Missouri,Kansas,Connecticut,Delaware,Wyoming,Mississippi,Louisiana,Alabama,Indiana,Nebraska,Oklahoma,New Mexico,South Dakota,Kentucky,Ohio,Iowa
2002,01,04,179.8,242504.465984349,143634.34141768256,125837.09734324909,180152.52055437077,207523.4779831184,113183.46455252272,175077.40586844026,189916.5122657071,144882.51482616062,210062.15034433195,90796.60786335931,148930.26154851052,170583.81836707704,128098.91581816664,169771.70547903483,163091.25587429837,107793.74742492547,114188.7611247163,252386.8701875352,200596.4761291172,155580.5324924296,135045.6291040545,160806.24460597808,138979.66291693933,218923.51671791205,76988.73104685922,171424.06754141362,129252.95376115503,127383.07446472392,164485.0190218041,119888.02971371956,129305.49727740164,132267.882724548,108596.36229721154,96371.9862025506,190404.81242726895,162714.94481891085,141818.96129115447,90373.05076583974,110904.63681021932,103656.94218591983,100805.93877800634,107487.28244450166,87145.53365970192,130156.3837003848,108506.68207170906,89226.59839106658,111306.78153842692,96660.2987564652
2002,01,05,179.8,245223.61045017044,144768.57917929298,126869.29874421052,181306.54758433904,209411.25131331128,113621.08784403624,175186.5247153897,190405.570667998,145656.3290570045,210928.14999903043,91060.0821138305,149515.26229433998,171637.03207093614,128415.5479287862,171235.19130404195,165232.3405680857,108376.00829756446,114369.33813354468,254740.6385210418,203135.66033106323,156703.02570124203,135223.6903135092,161430.5617955872,139440.28089600612,220218.77645275023,77191.85792733399,173062.6385418333,130550.7201501702,127612.97262523924,165226.4334212369,120097.35502159368,129798.62321628032,133226.34799817312,109096.7267226103,96383.97625545732,192118.4660633418,163701.93788082883,140558.38539847097,90474.99919787492,111682.4253667524,103840.75730381778,100840.63695149572,107881.51072350018,87374.38787433988,130377.43431956478,108608.3697364846,89400.49072687376,111562.4597517328,97031.18616843411
2002,01,06,179.9,248240.51564792823,146021.38990122057,127948.51908097837,182646.5522380668,211530.8028070877,114111.3853280646,175283.25050461732,190843.24324078803,146419.53872915872,211661.59252297835,91374.73250571036,150173.09822786596,172525.1682381771,128765.88528850088,172871.95325476467,167606.4339462346,109017.0910447497,114576.1350826394,257187.541852916,205956.99468460112,157854.36705795917,135410.4608738836,162176.44990425406,139912.07510369364,221646.3316038215,77386.84839896223,174940.84091361376,131902.25943327424,127952.59769344308,165824.44783965286,120321.30150041488,130334.48436232198,134162.92670670024,109673.65293508868,96316.8757641163,194073.36365622003,164753.12657641954,139983.98028630068,90648.4524563504,112419.17243757156,104069.49756767914,101097.86296111956,108194.34080358094,87608.29066165235,130475.3495124193,108954.49346517396,89593.99524763245,111848.70358586336,97514.72332073144
2002,01,07,180.1,251730.7355405497,147350.95507822317,129047.26699366246,184085.95330489168,213910.97855316268,114609.76740222458,175377.34797361758,191398.70421392017,147337.19857480403,212373.78093563905,91739.877130452,150884.90029290944,173336.67938683202,129106.0025277826,174522.66013162292,170264.1530955883,109734.56805794532,114818.39688798923,259955.1612820466,208715.8855422377,159108.43050579377,135665.39779016937,162992.66024880554,140357.2598744263,223389.24278573136,77627.742097675,177028.17142467332,133263.08634879664,128296.42686763828,166362.12645989435,120640.86052328226,130896.80876930208,135007.46007764354,110299.9270480633,96221.99155939028,196155.21517974,165831.58101940938,139106.64743597383,90950.93549882884,113195.73981271106,104335.37929820716,101448.06912022254,108538.6838897284,87858.27850594546,130811.742128225,109369.88942162886,89834.67497996561,112183.00636581768,97947.6794436608
2002,01,08,180.7,255487.85583899077,148769.04828277964,130221.50609223628,185693.2127410972,216816.48653740343,115136.43485919067,175404.6214688262,192065.87148187263,148504.90355799653,212877.43989301583,92059.25586186274,151694.72661709567,174091.52717894493,129489.39170489798,176429.79703741238,173402.78946329435,110544.3370038934,115040.47573775232,262892.3911760859,211325.0158061307,160245.41568642037,135918.44777240756,163671.22205619884,140785.69526306508,225639.8551804946,77908.01535772112,179168.6680624227,134547.40885512644,128615.27579507529,166920.14483772544,120949.61952835562,131526.40154880562,135787.9831382679,110876.66763356932,96202.2794778252,198186.0414227602,166997.350782774,139186.3516220598,91224.60706384544,113341.2512171984,104574.40876316153,101630.93722352444,108834.53855652596,88123.52919880349,131178.51335287374,109753.45856921207,90099.4000562578,112531.74769131388,98327.4665319944
2002,01,09,181.0,259283.65076214715,150186.96647493492,131383.22166406907,187349.20672457665,220044.42309679856,115600.610397601,175282.72969943171,192728.98219835665,149796.39446783857,213402.5197493283,92386.63704844778,152394.37357924625,174791.99283967607,129854.25775768896,178458.14496152368,177130.4119462565,111384.66388826763,115271.79461420645,266130.4951386349,214036.9924237074,161427.09417844625,136173.7957880368,164260.36918693795,141224.244488573,228355.68265084768,78187.80900095723,181262.47099389764,135777.20169124057,128921.69184241963,167530.39421055707,121257.67747845866,132175.80706186313,136467.10420283736,111463.94372752726,96228.53144743432,200001.01104160992,168093.06357928176,139752.27923321942,91544.1316596318,113450.36853832575,104828.1575333081,101665.64511385642,109155.85725915334,88410.78786244216,131614.94685785598,110240.0178058986,90380.88286241598,112882.94813730974,98622.37353122466
2002,01,10,181.3,262885.761932726,151562.73106701774,132543.41384253683,189000.2451583481,223439.36236600904,115998.94667052545,174936.13426474304,193377.72809006795,151187.8483425229,213927.8145949389,92749.88301501858,153096.77770260884,175670.40883950234,130282.91625758437,180685.55835051983,180777.80283226055,112207.9307945174,115537.5839972606,269863.3541445276,216942.446759945,162575.87069885165,136425.9522318206,164809.94773027135,141685.16223042738,231024.8258046192,78549.23272761646,183258.84285398695,136899.97721895005,129235.43769763084,168014.06412343995,121548.78857024763,132899.26576008237,137180.10700709073,112095.853219449,96258.51922144934,202138.4398799972,169217.57775915088,140261.30767898526,91925.90453085511,113548.6598232332,105081.73943960226,101808.30694079545,109508.13313408603,88687.14883566601,131998.62915436024,110570.67690443622,90649.2878803955,113234.85413783102,98952.44774645809
2002,01,11,181.3,266414.85957757826,152858.02423439937,133645.5819790891,190604.54881200148,226573.6005467374,116337.98466284868,174695.81973497153,193987.76316013176,152153.10442446484,214422.59869713453,93126.08956494911,153731.60992319832,176739.06848539272,130693.97758196974,182821.09858681692,183909.0822030945,112916.12311585304,115798.7721821054,273786.51872720267,220433.77049010823,163753.97500002602,136657.15911011305,165456.1774049851,142104.73384303114,233451.655478062,78793.47595734864,185086.56103024448,138072.19814354173,129501.48347206494,168574.45086840435,121860.4562625283,133571.9983603865,137937.31602574306,112750.20790148256,96755.8302720425,204549.7042500441,170329.71390176838,140704.04028379123,92277.97572882968,113937.02961731044,105349.78916410355,102024.55560793693,109845.71494723253,88956.09507957655,132350.1588589459,110786.8842621262,90912.5717272492,113599.52938284528,99323.02763577925
2002,01,12,180.9,269894.89865914494,154060.37978846577,134839.66632975198,192265.80869379189,229501.9552672419,116626.85614961835,174464.56931905728,194449.7722964113,152987.96137314802,214693.12091535548,93481.88649683598,154433.19844410752,177944.88136813266,131110.2019393973,184947.5280654362,186462.5346042504,113589.83489822708,116054.64264086516,277531.6990811333,224076.4138639417,165032.05159879234,136894.41152543225,166102.73952965267,142458.47989977404,235381.41805310408,78974.97424020332,186931.5017719964,139270.50779065271,129664.7601102016,169172.97021589222,122181.1899669663,134224.34272611936,138762.46316608533,113346.86557559537,97300.00921751064,206910.37511999588,171543.6205293182,140924.41560784783,92564.45628553834,114413.14219708476,105622.96383735554,102294.57436550518,110210.55225848588,89208.86946446214,132660.75670240656,110904.58783010083,91144.02147318848,113961.40871147836,99736.35460835382
2003,01,01,181.7,272969.90766885964,155116.48360423782,136016.81382477275,193888.4691214644,232305.36224476385,116848.3560968653,174300.46116524318,194970.31204846865,153649.74223595392,214782.8677609493,93727.53340404668,155089.1261626661,179134.62171574612,131501.19783603042,186978.93054845007,188832.29886986225,114235.18311645369,116244.1162992253,280557.64519463136,227367.82639628707,166317.7485953706,137124.5551627427,166722.14682973424,142758.6308808862,237409.7065317895,79075.07213670312,188657.67615866015,140568.0669509852,129788.9107729562,169571.3901858575,122496.02379700048,134764.20319178118,139591.36574580907,113862.293675697,97873.81143922175,208883.5829406204,172816.29594999566,141258.2296164649,92711.68671714184,114893.56058182764,105860.34742225596,102383.26090040152,110605.32318956248,89434.98700599269,132977.13539743773,111354.13402143156,91350.76242162818,114292.48636747012,100093.66266913124
