Year,Month,Day,CPI,ZHVI,State
2002,01,06,179.9,109017.0910447497,Pennsylvania
2002,01,06,179.9,114576.1350826394,Tennessee
2002,01,06,179.9,257187.541852916,Massachusetts
2002,01,06,179.9,205956.99468460112,the District of Columbia
2002,01,06,179.9,157854.36705795917,Minnesota
2002,01,06,179.9,135410.4608738836,North Carolina
2002,01,06,179.9,162176.44990425406,Oregon
2002,01,06,179.9,139912.07510369364,Georgia
2002,01,06,179.9,221646.3316038215,Hawaii
2002,01,06,179.9,77386.84839896223,West Virginia
2002,01,06,179.9,174940.84091361376,Maryland
2002,01,06,179.9,131902.25943327424,Maine
2002,01,06,179.9,127952.59769344308,Idaho
2002,01,06,179.9,165824.44783965286,Alaska
2002,01,06,179.9,120321.30150041488,South Carolina
2002,01,06,179.9,130334.48436232198,Wisconsin
2002,01,06,179.9,134162.92670670024,Vermont
2002,01,06,179.9,109673.65293508868,Missouri
2002,01,06,179.9,96316.8757641163,Kansas
2002,01,06,179.9,194073.36365622003,Connecticut
2002,01,06,179.9,164753.12657641954,Delaware
2002,01,06,179.9,139983.98028630068,Wyoming
2002,01,06,179.9,90648.4524563504,Mississippi
2002,01,06,179.9,112419.17243757156,Louisiana
2002,01,06,179.9,104069.49756767914,Alabama
2002,01,06,179.9,101097.86296111956,Indiana
2002,01,06,179.9,108194.34080358094,Nebraska
2002,01,06,179.9,87608.29066165235,Oklahoma
2002,01,06,179.9,130475.3495124193,New Mexico
2002,01,06,179.9,108954.49346517396,South Dakota
2002,01,06,179.9,89593.99524763245,Kentucky
2002,01,06,179.9,111848.70358586336,Ohio
2002,01,06,179.9,97514.72332073144,Iowa
2002,01,07,180.1,251730.7355405497,California
2002,01,07,180.1,147350.95507822317,Virginia
2002,01,07,180.1,129047.26699366246,Florida
2002,01,07,180.1,184085.95330489168,New York
2002,01,07,180.1,213910.97855316268,New Jersey
2002,01,07,180.1,114609.76740222458,Texas
2002,01,07,180.1,175377.34797361758,Utah
2002,01,07,180.1,191398.70421392017,Washington
2002,01,07,180.1,147337.19857480403,Illinois
2002,01,07,180.1,212373.78093563905,Colorado
2002,01,07,180.1,91739.877130452,Arkansas
2002,01,07,180.1,150884.90029290944,Arizona
2002,01,07,180.1,173336.67938683202,Nevada
2002,01,07,180.1,129106.0025277826,Michigan
2002,01,07,180.1,174522.66013162292,New Hampshire
2002,01,07,180.1,170264.1530955883,Rhode Island
2002,01,07,180.1,109734.56805794532,Pennsylvania
2002,01,07,180.1,114818.39688798923,Tennessee
2002,01,07,180.1,259955.1612820466,Massachusetts
2002,01,07,180.1,208715.8855422377,the District of Columbia
2002,01,07,180.1,159108.43050579377,Minnesota
2002,01,07,180.1,135665.39779016937,North Carolina
2002,01,07,180.1,162992.66024880554,Oregon
2002,01,07,180.1,140357.2598744263,Georgia
2002,01,07,180.1,223389.24278573136,Hawaii
2002,01,07,180.1,77627.742097675,West Virginia
2002,01,07,180.1,177028.17142467332,Maryland
2002,01,07,180.1,133263.08634879664,Maine
2002,01,07,180.1,128296.42686763828,Idaho
2002,01,07,180.1,166362.12645989435,Alaska
2002,01,07,180.1,120640.86052328226,South Carolina
2002,01,07,180.1,130896.80876930208,Wisconsin
2002,01,07,180.1,135007.46007764354,Vermont
2002,01,07,180.1,110299.9270480633,Missouri
2002,01,07,180.1,96221.99155939028,Kansas
2002,01,07,180.1,196155.21517974,Connecticut
2002,01,07,180.1,165831.58101940938,Delaware
2002,01,07,180.1,139106.64743597383,Wyoming
2002,01,07,180.1,90950.93549882884,Mississippi
2002,01,07,180.1,113195.73981271106,Louisiana
2002,01,07,180.1,104335.37929820716,Alabama
2002,01,07,180.1,101448.06912022254,Indiana
2002,01,07,180.1,108538.6838897284,Nebraska
2002,01,07,180.1,87858.27850594546,Oklahoma
2002,01,07,180.1,130811.742128225,New Mexico
2002,01,07,180.1,109369.88942162886,South Dakota
2002,01,07,180.1,89834.67497996561,Kentucky
2002,01,07,180.1,112183.00636581768,Ohio
2002,01,07,180.1,97947.6794436608,Iowa
2002,01,08,180.7,255487.85583899077,California
2002,01,08,180.7,148769.04828277964,Virginia
2002,01,08,180.7,130221.50609223628,Florida
2002,01,08,180.7,185693.2127410972,New York
2002,01,08,180.7,216816.48653740343,New Jersey
2002,01,08,180.7,115136.43485919067,Texas
2002,01,08,180.7,175404.6214688262,Utah
2002,01,08,180.7,192065.87148187263,Washington
2002,01,08,180.7,148504.90355799653,Illinois
2002,01,08,180.7,212877.43989301583,Colorado
2002,01,08,180.7,92059.25586186274,Arkansas
2002,01,08,180.7,151694.72661709567,Arizona
2002,01,08,180.7,174091.52717894493,Nevada
2002,01,08,180.7,129489.39170489798,Michigan
2002,01,08,180.7,176429.79703741238,New Hampshire
2002,01,08,180.7,173402.78946329435,Rhode Island
2002,01,08,180.7,110544.3370038934,Pennsylvania
2002,01,08,180.7,115040.47573775232,Tennessee
2002,01,08,180.7,262892.3911760859,Massachusetts
2002,01,08,180.7,211325.0158061307,the District of Columbia
2002,01,08,180.7,160245.41568642037,Minnesota
2002,01,08,180.7,135918.44777240756,North Carolina
2002,01,08,180.7,163671.22205619884,Oregon
2002,01,08,180.7,140785.69526306508,Georgia
2002,01,08,180.7,225639.8551804946,Hawaii
2002,01,08,180.7,77908.01535772112,West Virginia
2002,01,08,180.7,179168.6680624227,Maryland
2002,01,08,180.7,134547.40885512644,Maine
2002,01,08,180.7,128615.27579507529,Idaho
2002,01,08,180.7,166920.14483772544,Alaska
2002,01,08,180.7,120949.61952835562,South Carolina
2002,01,08,180.7,131526.40154880562,Wisconsin
2002,01,08,180.7,135787.9831382679,Vermont
2002,01,08,180.7,110876.66763356932,Missouri
2002,01,08,180.7,96202.2794778252,Kansas
2002,01,08,180.7,198186.0414227602,Connecticut
2002,01,08,180.7,166997.350782774,Delaware
2002,01,08,180.7,139186.3516220598,Wyoming
2002,01,08,180.7,91224.60706384544,Mississippi
2002,01,08,180.7,113341.2512171984,Louisiana
2002,01,08,180.7,104574.40876316153,Alabama
2002,01,08,180.7,101630.93722352444,Indiana
2002,01,08,180.7,108834.53855652596,Nebraska
2002,01,08,180.7,88123.52919880349,Oklahoma
2002,01,08,180.7,131178.51335287374,New Mexico
2002,01,08,180.7,109753.45856921207,South Dakota
2002,01,08,180.7,90099.4000562578,Kentucky
2002,01,08,180.7,112531.74769131388,Ohio
2002,01,08,180.7,98327.4665319944,Iowa
2002,01,09,181.0,259283.65076214715,California
2002,01,09,181.0,150186.96647493492,Virginia
2002,01,09,181.0,131383.22166406907,Florida
2002,01,09,181.0,187349.20672457665,New York
2002,01,09,181.0,220044.42309679856,New Jersey
2002,01,09,181.0,115600.610397601,Texas
2002,01,09,181.0,175282.72969943171,Utah
2002,01,09,181.0,192728.98219835665,Washington
2002,01,09,181.0,149796.39446783857,Illinois
2002,01,09,181.0,213402.5197493283,Colorado
2002,01,09,181.0,92386.63704844778,Arkansas
2002,01,09,181.0,152394.37357924625,Arizona
2002,01,09,181.0,174791.99283967607,Nevada
2002,01,09,181.0,129854.25775768896,Michigan
2002,01,09,181.0,178458.14496152368,New Hampshire
2002,01,09,181.0,177130.4119462565,Rhode Island
2002,01,09,181.0,111384.66388826763,Pennsylvania
2002,01,09,181.0,115271.79461420645,Tennessee
2002,01,09,181.0,266130.4951386349,Massachusetts
2002,01,09,181.0,214036.9924237074,the District of Columbia
2002,01,09,181.0,161427.09417844625,Minnesota
2002,01,09,181.0,136173.7957880368,North Carolina
2002,01,09,181.0,164260.36918693795,Oregon
2002,01,09,181.0,141224.244488573,Georgia
2002,01,09,181.0,228355.68265084768,Hawaii
2002,01,09,181.0,78187.80900095723,West Virginia
2002,01,09,181.0,181262.47099389764,Maryland
2002,01,09,181.0,135777.20169124057,Maine
2002,01,09,181.0,128921.69184241963,Idaho
2002,01,09,181.0,167530.39421055707,Alaska
2002,01,09,181.0,121257.67747845866,South Carolina
2002,01,09,181.0,132175.80706186313,Wisconsin
2002,01,09,181.0,136467.10420283736,Vermont
2002,01,09,181.0,111463.94372752726,Missouri
2002,01,09,181.0,96228.53144743432,Kansas
2002,01,09,181.0,200001.01104160992,Connecticut
2002,01,09,181.0,168093.06357928176,Delaware
2002,01,09,181.0,139752.27923321942,Wyoming
2002,01,09,181.0,91544.1316596318,Mississippi
2002,01,09,181.0,113450.36853832575,Louisiana
2002,01,09,181.0,104828.1575333081,Alabama
2002,01,09,181.0,101665.64511385642,Indiana
2002,01,09,181.0,109155.85725915334,Nebraska
2002,01,09,181.0,88410.78786244216,Oklahoma
2002,01,09,181.0,131614.94685785598,New Mexico
2002,01,09,181.0,110240.0178058986,South Dakota
2002,01,09,181.0,90380.88286241598,Kentucky
2002,01,09,181.0,112882.94813730974,Ohio
2002,01,09,181.0,98622.37353122466,Iowa
2002,01,10,181.3,262885.761932726,California
